productId;itemName;action;field;oldValue;newValue;oldSku;oldLocation;oldQuantity;oldPrice;oldLength;oldWidth;oldHeight;oldVolume;oldWeight
1935;Elvie Catch Milk Collection cups 2 cups;DELETED;;;;E319-P;E319;1;;;;;;
1934;SmartPanda 5 Dual Tip Pastel Highlighter Thick and Fine 2 pack;DELETED;;;;F486-H;F486;1;;;;;;
1933;Nillkin for Samsung Galaxy S24 Ultra Blue;DELETED;;;;N32-U;N32;1;;;;;;
1932;Nasal Spray Wash Sinusitis Relief Natural Sea Water Based Nasal Spray Pack of 2;DELETED;;;;D517-N;D517;1;;;;;;
1931;i-Blason Cosmo Case for Samsung Galaxy S21 Plus (Ameth);DELETED;;;;F430-C;F430;1;;;;;;
1930;Revlon Photoready Insta-Filter Foundation 450 Mocha;DELETED;;;;C378-N;C378;1;;;;;;
1929;Memumi Case for iPhone 16 Pro Aramid Fiber Slim Wheat Field Blue;DELETED;;;;F375-L;F375;1;;;;;;
1926;Powstro LED Motion Light Bulbs B22 PIR Light Sensor Bulb 12W 6500K 6pack;DELETED;;;;Y84-Y;Y84;1;;;;;;
1925;Memumi Case for iPhone 16 Pro Aramid Fiber Slim Rays of the Setting Sun;DELETED;;;;F475-Z;F475;1;;;;;;
1923;Nillkin for iPhone 13 Pro Case CamShield Silky Liquid Silicone Case Blue;DELETED;;;;N34-F;N34;1;;;;;;
1922;GVIEWIN Designed for Samsung S23 Case;DELETED;;;;F424-Q;F424;1;;;;;;
1921;9 Inch Android 13 Car Stereo for Ford Fiesta Mk5 2002/2008 Touch Screen Car Radi;DELETED;;;;B425-X;B425;1;;;;;;
1918;IDEAL Of Sweden Wild Cedar Snake Case for Samsung Galaxy S20 Plus;DELETED;;;;F356-S;F356;1;;;;;;
1916;Grefay Bike Phone Holder Motorcycle Phone Holder Scooter Phone Mount PB03-AC;DELETED;;;;W66-I;W66;1;;;;;;
1915;BUTFULAKE Headsets for Xbox One PS4 PC Nintendo Switch Gaming Headset GH-1;DELETED;;;;B328-X;B328;1;;;;;;
1913;LED Bulbs G45 E12 5W 2700K Soft White Non Dimmable Pack of 6;DELETED;;;;C274-K;C274;1;;;;;;
1912;i-Blason Cosmo Glitter Case for Samsung Galaxy S21 Marble;DELETED;;;;F430-D;F430;1;;;;;;
1910;Ringke Outstanding Multi-Angle Adhesive Spring-Action with Non-Slip Pad Stand f;DELETED;;;;F541-O;F541;1;;;;;;
1906;Ghostek Covert MagSafe Compatible Clear Case - For iPhone 14 Plus;DELETED;;;;N44-Y;N44;1;;;;;;
